primary_country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,>15
Kazakhstan,0.0,0.043478260869565216,0.043478260869565216,0.0,0.043478260869565216,0.043478260869565216,0.0,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.13043478260869565,0.0,0.043478260869565216,0.13043478260869565,0.043478260869565216,0.0,0.34782608695652173
Kenya,0.0,0.11538461538461539,0.1346153846153846,0.11538461538461539,0.057692307692307696,0.07692307692307693,0.057692307692307696,0.057692307692307696,0.11538461538461539,0.019230769230769232,0.038461538461538464,0.0,0.0,0.0,0.019230769230769232,0.0,0.19230769230769232
Lithuania,0.05,0.15,0.15,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.45
Luxembourg,0.0,0.16,0.16,0.16,0.04,0.08,0.08,0.08,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.16
MO,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Malaysia,0.0,0.11363636363636363,0.045454545454545456,0.022727272727272728,0.06818181818181818,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.11363636363636363,0.022727272727272728,0.045454545454545456,0.0,0.06818181818181818,0.022727272727272728,0.0,0.38636363636363635
Mali,0.0,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Massachusetts  USA,0.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,0.008695652173913044,0.06956521739130435,0.14782608695652175,0.06956521739130435,0.09565217391304348,0.08695652173913043,0.06956521739130435,0.017391304347826087,0.08695652173913043,0.02608695652173913,0.008695652173913044,0.017391304347826087,0.02608695652173913,0.034782608695652174,0.017391304347826087,0.008695652173913044,0.20869565217391303
Mongolia,0.0,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.0,0.0,0.05263157894736842,0.0,0.10526315789473684,0.0,0.0,0.15789473684210525,0.0,0.0,0.3684210526315789
Morocco,0.0,0.0,0.09523809523809523,0.047619047619047616,0.19047619047619047,0.0,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.047619047619047616,0.0,0.047619047619047616,0.0,0.047619047619047616,0.0,0.0,0.2857142857142857
New Zealand,0.019867549668874173,0.18543046357615894,0.07947019867549669,0.17880794701986755,0.046357615894039736,0.059602649006622516,0.0728476821192053,0.019867549668874173,0.026490066225165563,0.026490066225165563,0.013245033112582781,0.013245033112582781,0.033112582781456956,0.033112582781456956,0.026490066225165563,0.006622516556291391,0.15894039735099338
Nigeria,0.0,0.08,0.04,0.08,0.04,0.12,0.0,0.0,0.04,0.0,0.08,0.04,0.08,0.0,0.0,0.04,0.36
Norway,0.03937007874015748,0.12992125984251968,0.11023622047244094,0.12992125984251968,0.08267716535433071,0.07086614173228346,0.05905511811023622,0.04330708661417323,0.031496062992125984,0.04330708661417323,0.01968503937007874,0.023622047244094488,0.011811023622047244,0.03543307086614173,0.015748031496062992,0.011811023622047244,0.14173228346456693
PR China,0.125,0.125,0.5,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan,0.0,0.13333333333333333,0.0,0.06666666666666667,0.13333333333333333,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.06666666666666667,0.0,0.0,0.4
Panama,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,0.4117647058823529
Peru,0.0,0.15151515151515152,0.06060606060606061,0.06060606060606061,0.030303030303030304,0.09090909090909091,0.0,0.030303030303030304,0.06060606060606061,0.09090909090909091,0.030303030303030304,0.0,0.06060606060606061,0.0,0.030303030303030304,0.030303030303030304,0.2727272727272727
Philippines,0.0,0.0,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.0,0.047619047619047616,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.0,0.047619047619047616,0.0,0.0,0.0,0.5238095238095238
Poland,0.030612244897959183,0.1683673469387755,0.11734693877551021,0.08163265306122448,0.10714285714285714,0.07142857142857142,0.030612244897959183,0.04081632653061224,0.02040816326530612,0.04591836734693878,0.015306122448979591,0.01020408163265306,0.03571428571428571,0.025510204081632654,0.02040816326530612,0.02040816326530612,0.15816326530612246
Portugal,0.043478260869565216,0.14906832298136646,0.12422360248447205,0.13043478260869565,0.037267080745341616,0.07453416149068323,0.024844720496894408,0.08074534161490683,0.049689440993788817,0.037267080745341616,0.012422360248447204,0.018633540372670808,0.012422360248447204,0.018633540372670808,0.006211180124223602,0.031055900621118012,0.14906832298136646
Qatar,0.0,0.0967741935483871,0.0967741935483871,0.06451612903225806,0.16129032258064516,0.0,0.0967741935483871,0.0967741935483871,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.2903225806451613
ROC,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
Republic of Singapore,0.0,0.4,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Romania,0.0,0.18421052631578946,0.0,0.13157894736842105,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.0,0.05263157894736842,0.02631578947368421,0.0,0.05263157894736842,0.07894736842105263,0.02631578947368421,0.0,0.0,0.3684210526315789
Russia,0.0,0.12396694214876033,0.14049586776859505,0.08677685950413223,0.09090909090909091,0.0743801652892562,0.04132231404958678,0.05371900826446281,0.06611570247933884,0.045454545454545456,0.024793388429752067,0.012396694214876033,0.028925619834710745,0.028925619834710745,0.01652892561983471,0.008264462809917356,0.15702479338842976
